updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,,ocd-division/country:us/state:la/parish:webster,0,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,,ocd-division/country:us/state:la/parish:webster,0,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,,ocd-division/country:us/state:la/parish:webster,1,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,,ocd-division/country:us/state:la/parish:webster,0,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,,ocd-division/country:us/state:la/parish:webster,5,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,,ocd-division/country:us/state:la/parish:webster,369,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,,ocd-division/country:us/state:la/parish:webster,384,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,,ocd-division/country:us/state:la/parish:webster,3,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 43,ocd-division/country:us/state:la/parish:webster/precinct:_43,11,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 43,ocd-division/country:us/state:la/parish:webster/precinct:_43,121,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 43,ocd-division/country:us/state:la/parish:webster/precinct:_43,159,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 43,ocd-division/country:us/state:la/parish:webster/precinct:_43,0,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 42,ocd-division/country:us/state:la/parish:webster/precinct:_42,13,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 42,ocd-division/country:us/state:la/parish:webster/precinct:_42,78,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 42,ocd-division/country:us/state:la/parish:webster/precinct:_42,41,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 42,ocd-division/country:us/state:la/parish:webster/precinct:_42,0,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 41,ocd-division/country:us/state:la/parish:webster/precinct:_41,22,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 41,ocd-division/country:us/state:la/parish:webster/precinct:_41,225,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 41,ocd-division/country:us/state:la/parish:webster/precinct:_41,99,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 41,ocd-division/country:us/state:la/parish:webster/precinct:_41,8,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 40,ocd-division/country:us/state:la/parish:webster/precinct:_40,2,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 40,ocd-division/country:us/state:la/parish:webster/precinct:_40,59,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 40,ocd-division/country:us/state:la/parish:webster/precinct:_40,38,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 40,ocd-division/country:us/state:la/parish:webster/precinct:_40,1,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 39,ocd-division/country:us/state:la/parish:webster/precinct:_39,10,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 39,ocd-division/country:us/state:la/parish:webster/precinct:_39,141,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 39,ocd-division/country:us/state:la/parish:webster/precinct:_39,158,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 39,ocd-division/country:us/state:la/parish:webster/precinct:_39,1,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 38,ocd-division/country:us/state:la/parish:webster/precinct:_38,4,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,John Fleming,,,,,R,Webster,00 38,ocd-division/country:us/state:la/parish:webster/precinct:_38,59,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,Paul J. Carmouche,,,,,D,Webster,00 38,ocd-division/country:us/state:la/parish:webster/precinct:_38,21,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Gerard J. Bowen, Jr.",,,,,O,Webster,00 38,ocd-division/country:us/state:la/parish:webster/precinct:_38,2,,,,,2008
2015-10-07 22:49:04.057000,la-2008-12-06-general-runoff,2008-12-06 00:00:00,2008-12-06 00:00:00,general-runoff,certified,False,U.S. House,4,"Chester T. ""Catfish"" Kelley",,,,,N,Webster,00 36,ocd-division/country:us/state:la/parish:webster/precinct:_36,2,,,,,2008
