updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"""Buddy"" Amoroso",,,,,R,East Baton Rouge,01 090 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_a,22,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"Richard ""Rick"" Bond",,,,,R,East Baton Rouge,01 090 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_a,26,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,Susan Nelson,,,,,N,East Baton Rouge,01 090 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_a,24,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,Darrell Ourso,,,,,R,East Baton Rouge,01 090 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_a,23,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"""Buddy"" Amoroso",,,,,R,East Baton Rouge,01 090 B,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_b,28,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"Richard ""Rick"" Bond",,,,,R,East Baton Rouge,01 090 B,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_b,19,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,Susan Nelson,,,,,N,East Baton Rouge,01 090 B,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_b,26,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,Darrell Ourso,,,,,R,East Baton Rouge,01 090 B,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_090_b,20,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"""Buddy"" Amoroso",,,,,R,East Baton Rouge,01 103 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_103_a,68,,,,,2015
2016-03-07 11:18:08.608000,la-2015-02-21-special-primary,2015-02-21 00:00:00,2015-02-21 00:00:00,primary,certified,True,State House,66,"Richard ""Rick"" Bond",,,,,R,East Baton Rouge,01 103 A,ocd-division/country:us/state:la/parish:east_baton_rouge/precinct:1_103_a,19,,,,,2015
